company_id,active_count,new_7d,new_30d,closed_30d,growth_rate,domain_focus,acceleration_score,status
1,0,0,0,0,0.0,general,0,insufficient_history
2,47,47,47,0,1.0,ai,80,stable
3,46,46,46,0,1.0,data,80,stable
4,50,50,50,0,1.0,ai,80,stable
5,6,6,6,0,1.0,general,62,stable
6,1,1,1,0,1.0,general,27,stable
7,2,2,2,0,1.0,general,34,stable
8,2,2,2,0,1.0,ai,34,stable
9,1,1,1,0,1.0,general,27,stable
10,1,1,1,0,1.0,general,27,stable
11,1,1,1,0,1.0,general,27,stable
12,2,2,2,0,1.0,general,34,stable
13,1,1,1,0,1.0,ai,27,stable
14,2,2,2,0,1.0,ai,34,stable
15,11,11,11,0,1.0,general,72,stable
16,1,1,1,0,1.0,general,27,stable
17,8,8,8,0,1.0,general,66,stable
18,23,23,23,0,1.0,ai,80,stable
19,2,2,2,0,1.0,general,34,stable
20,4,4,4,0,1.0,data,48,stable
21,7,7,7,0,1.0,ai,64,stable
22,1,1,1,0,1.0,general,27,stable
23,1,1,1,0,1.0,general,27,stable
24,1,1,1,0,1.0,general,27,stable
25,5,5,5,0,1.0,general,55,stable
26,23,23,23,0,1.0,ai,80,stable
27,1,1,1,0,1.0,general,27,stable
28,3,3,3,0,1.0,general,41,stable
29,4,4,4,0,1.0,general,48,stable
30,1,1,1,0,1.0,general,27,stable
31,11,11,11,0,1.0,data,72,stable
32,15,15,15,0,1.0,ai,80,stable
33,1,1,1,0,1.0,general,27,stable
34,1,1,1,0,1.0,general,27,stable
35,1,1,1,0,1.0,general,27,stable
36,2,2,2,0,1.0,general,34,stable
37,1,1,1,0,1.0,general,27,stable
38,2,2,2,0,1.0,ai,34,stable
39,3,3,3,0,1.0,ai,41,stable
40,1,1,1,0,1.0,ai,27,stable
41,1,1,1,0,1.0,general,27,stable
42,4,4,4,0,1.0,general,48,stable
43,1,1,1,0,1.0,general,27,stable
44,1,1,1,0,1.0,ai,27,stable
45,1,1,1,0,1.0,general,27,stable
46,1,1,1,0,1.0,general,27,stable
47,1,1,1,0,1.0,general,27,stable
48,1,1,1,0,1.0,general,27,stable
49,1,1,1,0,1.0,general,27,stable
50,5,5,5,0,1.0,general,55,stable
51,1,1,1,0,1.0,general,27,stable
52,5,5,5,0,1.0,general,55,stable
53,1,1,1,0,1.0,data,27,stable
54,1,1,1,0,1.0,general,27,stable
55,1,1,1,0,1.0,general,27,stable
56,2,2,2,0,1.0,general,34,stable
57,18,18,18,0,1.0,general,80,stable
58,3,3,3,0,1.0,general,41,stable
59,1,1,1,0,1.0,general,27,stable
60,1,1,1,0,1.0,general,27,stable
61,1,1,1,0,1.0,general,27,stable
62,5,5,5,0,1.0,ai,55,stable
63,4,4,4,0,1.0,general,48,stable
64,1,1,1,0,1.0,general,27,stable
65,1,1,1,0,1.0,general,27,stable
66,1,1,1,0,1.0,general,27,stable
67,3,3,3,0,1.0,data,41,stable
68,7,7,7,0,1.0,data,64,stable
69,2,2,2,0,1.0,data,34,stable
70,1,1,1,0,1.0,general,27,stable
71,3,3,3,0,1.0,data,41,stable
72,2,2,2,0,1.0,general,34,stable
73,1,1,1,0,1.0,general,27,stable
74,1,1,1,0,1.0,general,27,stable
75,1,1,1,0,1.0,automation,27,stable
76,1,1,1,0,1.0,general,27,stable
77,1,1,1,0,1.0,general,27,stable
78,1,1,1,0,1.0,general,27,stable
79,1,1,1,0,1.0,general,27,stable
80,1,1,1,0,1.0,general,27,stable
81,4,4,4,0,1.0,general,48,stable
82,1,1,1,0,1.0,general,27,stable
83,1,1,1,0,1.0,general,27,stable
84,1,1,1,0,1.0,general,27,stable
85,9,9,9,0,1.0,data,68,stable
86,5,5,5,0,1.0,general,55,stable
87,7,7,7,0,1.0,ai,64,stable
88,1,1,1,0,1.0,ai,27,stable
89,1,1,1,0,1.0,general,27,stable
90,1,1,1,0,1.0,ai,27,stable
91,4,4,4,0,1.0,general,48,stable
92,2,2,2,0,1.0,general,34,stable
93,3,3,3,0,1.0,general,41,stable
94,1,1,1,0,1.0,general,27,stable
95,1,1,1,0,1.0,general,27,stable
96,1,1,1,0,1.0,general,27,stable
97,8,8,8,0,1.0,ai,66,stable
98,2,2,2,0,1.0,general,34,stable
99,1,1,1,0,1.0,ai,27,stable
100,1,1,1,0,1.0,general,27,stable
101,5,5,5,0,1.0,general,55,stable
102,15,15,15,0,1.0,ai,80,stable
103,1,1,1,0,1.0,general,27,stable
104,1,1,1,0,1.0,general,27,stable
105,1,1,1,0,1.0,general,27,stable
106,1,1,1,0,1.0,general,27,stable
107,1,1,1,0,1.0,general,27,stable
108,2,2,2,0,1.0,general,34,stable
109,1,1,1,0,1.0,ai,27,stable
110,1,1,1,0,1.0,general,27,stable
111,1,1,1,0,1.0,general,27,stable
112,2,2,2,0,1.0,general,34,stable
113,2,2,2,0,1.0,general,34,stable
114,1,1,1,0,1.0,general,27,stable
115,1,1,1,0,1.0,general,27,stable
116,1,1,1,0,1.0,general,27,stable
117,1,1,1,0,1.0,general,27,stable
118,1,1,1,0,1.0,ai,27,stable
119,1,1,1,0,1.0,general,27,stable
120,3,3,3,0,1.0,general,41,stable
121,1,1,1,0,1.0,general,27,stable
122,1,1,1,0,1.0,general,27,stable
123,1,1,1,0,1.0,ai,27,stable
124,1,1,1,0,1.0,general,27,stable
125,1,1,1,0,1.0,general,27,stable
126,1,1,1,0,1.0,general,27,stable
127,2,2,2,0,1.0,general,34,stable
128,3,3,3,0,1.0,data,41,stable
129,1,1,1,0,1.0,general,27,stable
130,2,2,2,0,1.0,general,34,stable
131,1,1,1,0,1.0,general,27,stable
132,1,1,1,0,1.0,general,27,stable
133,1,1,1,0,1.0,general,27,stable
134,1,1,1,0,1.0,general,27,stable
135,1,1,1,0,1.0,general,27,stable
136,1,1,1,0,1.0,general,27,stable
137,1,1,1,0,1.0,general,27,stable
138,1,1,1,0,1.0,general,27,stable
139,1,1,1,0,1.0,general,27,stable
140,1,1,1,0,1.0,general,27,stable
141,2,2,2,0,1.0,ai,34,stable
142,3,3,3,0,1.0,general,41,stable
143,1,1,1,0,1.0,ai,27,stable
144,1,1,1,0,1.0,general,27,stable
145,3,3,3,0,1.0,general,41,stable
146,2,2,2,0,1.0,general,34,stable
147,1,1,1,0,1.0,general,27,stable
148,1,1,1,0,1.0,general,27,stable
149,1,1,1,0,1.0,general,27,stable
150,1,1,1,0,1.0,general,27,stable
151,1,1,1,0,1.0,general,27,stable
152,1,1,1,0,1.0,general,27,stable
153,1,1,1,0,1.0,general,27,stable
154,1,1,1,0,1.0,general,27,stable
155,1,1,1,0,1.0,general,27,stable
156,1,1,1,0,1.0,general,27,stable
157,1,1,1,0,1.0,general,27,stable
158,1,1,1,0,1.0,general,27,stable
159,3,3,3,0,1.0,general,41,stable
160,1,1,1,0,1.0,general,27,stable
161,1,1,1,0,1.0,general,27,stable
162,3,3,3,0,1.0,general,41,stable
163,1,1,1,0,1.0,ai,27,stable
164,1,1,1,0,1.0,general,27,stable
165,1,1,1,0,1.0,general,27,stable
166,1,1,1,0,1.0,general,27,stable
167,1,1,1,0,1.0,general,27,stable
168,1,1,1,0,1.0,data,27,stable
169,2,2,2,0,1.0,ai,34,stable
170,1,1,1,0,1.0,general,27,stable
171,2,2,2,0,1.0,general,34,stable
172,2,2,2,0,1.0,general,34,stable
173,2,2,2,0,1.0,general,34,stable
174,1,1,1,0,1.0,general,27,stable
175,1,1,1,0,1.0,general,27,stable
176,1,1,1,0,1.0,general,27,stable
177,3,3,3,0,1.0,data,41,stable
178,1,1,1,0,1.0,general,27,stable
179,1,1,1,0,1.0,general,27,stable
180,1,1,1,0,1.0,general,27,stable
181,1,1,1,0,1.0,general,27,stable
182,1,1,1,0,1.0,general,27,stable
183,2,2,2,0,1.0,general,34,stable
184,1,1,1,0,1.0,general,27,stable
185,1,1,1,0,1.0,general,27,stable
186,3,3,3,0,1.0,general,41,stable
187,1,1,1,0,1.0,general,27,stable
188,1,1,1,0,1.0,general,27,stable
189,1,1,1,0,1.0,general,27,stable
190,1,1,1,0,1.0,general,27,stable
191,1,1,1,0,1.0,general,27,stable
192,2,2,2,0,1.0,general,34,stable
193,1,1,1,0,1.0,general,27,stable
194,1,1,1,0,1.0,general,27,stable
195,1,1,1,0,1.0,general,27,stable
196,1,1,1,0,1.0,general,27,stable
197,1,1,1,0,1.0,general,27,stable
198,1,1,1,0,1.0,general,27,stable
199,1,1,1,0,1.0,general,27,stable
200,1,1,1,0,1.0,general,27,stable
201,1,1,1,0,1.0,general,27,stable
202,1,1,1,0,1.0,general,27,stable
203,1,1,1,0,1.0,general,27,stable
204,1,1,1,0,1.0,general,27,stable
205,2,2,2,0,1.0,general,34,stable
206,2,2,2,0,1.0,general,34,stable
207,1,1,1,0,1.0,general,27,stable
208,1,1,1,0,1.0,general,27,stable
209,1,1,1,0,1.0,general,27,stable
210,1,1,1,0,1.0,digital,27,stable
211,1,1,1,0,1.0,general,27,stable
212,1,1,1,0,1.0,general,27,stable
213,1,1,1,0,1.0,general,27,stable
214,1,1,1,0,1.0,ai,27,stable
215,2,2,2,0,1.0,ai,34,stable
216,1,1,1,0,1.0,ai,27,stable
217,1,1,1,0,1.0,general,27,stable
